species,fish_id,site.id,turf,macro,coral,cca,sponge,rubble,rock,other
Z. velifer,zv105,L2S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv106,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv107,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv108,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv109,L3S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv110,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv111,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv112,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv113,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv114,L3S2,0.385,0.000,0.000,0.615,0.000,0.000,0.000,0.000
Z. velifer,zv115,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv116,L3S2,0.170,0.000,0.000,0.830,0.000,0.000,0.000,0.000
Z. velifer,zv117,L3S2,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Z. velifer,zv118,L3S3,0.964,0.000,0.036,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv119,L3S3,0.860,0.000,0.140,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv120,L3S3,0.741,0.074,0.000,0.185,0.000,0.000,0.000,0.000
Z. velifer,zv121,L3S3,0.667,0.000,0.000,0.333,0.000,0.000,0.000,0.000
Z. velifer,zv122,L3S3,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
Z. velifer,zv123,L1S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv124,L1S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv125,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv126,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv127,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv128,L1S1,0.906,0.000,0.094,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv129,L1S1,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv130,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv131,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv132,L1S2,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv133,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv134,L1S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv135,L1S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv136,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv137,L1S3,0.868,0.000,0.132,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv138,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv139,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv140,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv141,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv142,L1S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv143,L2S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv144,L2S2,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv145,L2S2,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv146,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv147,L2S2,0.872,0.000,0.128,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv148,L2S2,0.310,0.690,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv149,L2S2,0.846,0.000,0.154,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv150,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv151,L2S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv152,L2S3,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv153,L2S3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv154,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv155,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv156,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv157,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv158,L3S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv159,L3S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv160,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv161,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv162,L3S2,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv163,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv164,L3S2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv165,L1S1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Z. velifer,zv166,L1S1,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
