Collector,Year,Month,Location,Site,SiteID,SiteGrp,Depth,Transect,Transect_ID,T. length,Branching Coral,Rubble,Rock,Sand,Sponge,Plate coral,CCA,Turf Algae,Macro Algae,Branching Coral Avg,Rubble Avg,Rock Avg,Sand Avg,Sponge Avg,Plate coral Avg,CCA Avg,Turf Algae Avg,Macro Algae Avg
Mat,2021,Nov,L1,S2,L1S2,C,D2,1,Mat2021NovL1S2L1S2CD2,50,68,14,0,4,2,0,4,6,2,50.5,16,0.5,8.333333333,3,0,9.166666667,9.833333333,2.666666667
Mat,2021,Nov,L1,S3,L1S3,B,D1,1,Mat2021NovL1S3L1S3BD1,50,72,0,0,12,0,0,2,6,8,60.83333333,1.333333333,0.833333333,11.83333333,3.666666667,0,5.833333333,11.5,4.166666667
Mat,2021,Nov,L1,S3,L1S3,B,D2,1,Mat2021NovL1S3L1S3BD2,50,82,0,0,10,0,0,0,8,0,62.5,9.166666667,0.166666667,15.83333333,1.666666667,0,3,6.833333333,0.833333333
Mat,2021,Dec,L1,S1,L1S1,A,D1,1,Mat2021DecL1S1L1S1AD1,50,30,18,0,20,12,0,2,18,0,18.5,27.5,3.666666667,26,8.333333333,0,2.5,13.16666667,0.333333333
Mat,2021,Dec,L1,S1,L1S1,A,D2,1,Mat2021DecL1S1L1S1AD2,50,30,24,2,12,8,0,2,22,0,31.16666667,20.66666667,5,15.66666667,11.16666667,0,2.666666667,13.5,0.166666667
Mat,2021,Dec,L1,S2,L1S2,C,D1,1,Mat2021DecL1S2L1S2CD1,50,50,8,0,10,0,0,10,8,14,46.83333333,5.833333333,0,6.5,2.833333333,1.5,6.5,23.5,6.5
Mat,2021,Dec,L1,S2,L1S2,C,D2,1,Mat2021DecL1S2L1S2CD2,50,42,8,0,20,6,0,10,14,0,50.5,16,0.5,8.333333333,3,0,9.166666667,9.833333333,2.666666667
Mat,2021,Dec,L1,S3,L1S3,B,D1,1,Mat2021DecL1S3L1S3BD1,50,60,0,0,12,0,0,10,10,8,60.83333333,1.333333333,0.833333333,11.83333333,3.666666667,0,5.833333333,11.5,4.166666667
Mat,2021,Dec,L1,S3,L1S3,B,D2,1,Mat2021DecL1S3L1S3BD2,50,64,6,0,12,4,0,8,6,0,62.5,9.166666667,0.166666667,15.83333333,1.666666667,0,3,6.833333333,0.833333333
Mat,2021,Jan,L1,S1,L1S1,A,D1,1,Mat2021JanL1S1L1S1AD1,50,20,60,0,0,6,0,6,8,0,18.5,27.5,3.666666667,26,8.333333333,0,2.5,13.16666667,0.333333333
Mat,2021,Jan,L1,S1,L1S1,A,D2,1,Mat2021JanL1S1L1S1AD2,50,28,40,0,2,2,0,4,24,0,31.16666667,20.66666667,5,15.66666667,11.16666667,0,2.666666667,13.5,0.166666667
Mat,2021,Jan,L1,S2,L1S2,C,D1,1,Mat2021JanL1S2L1S2CD1,50,14,14,0,0,0,0,10,62,0,46.83333333,5.833333333,0,6.5,2.833333333,1.5,6.5,23.5,6.5
Mat,2021,Jan,L1,S2,L1S2,C,D2,1,Mat2021JanL1S2L1S2CD2,50,38,32,0,2,4,0,12,10,2,50.5,16,0.5,8.333333333,3,0,9.166666667,9.833333333,2.666666667
Mat,2021,Jan,L1,S3,L1S3,B,D1,1,Mat2021JanL1S3L1S3BD1,50,52,2,0,6,4,0,4,18,14,60.83333333,1.333333333,0.833333333,11.83333333,3.666666667,0,5.833333333,11.5,4.166666667
Mat,2021,Jan,L1,S3,L1S3,B,D2,1,Mat2021JanL1S3L1S3BD2,50,52,18,0,10,4,0,0,12,4,62.5,9.166666667,0.166666667,15.83333333,1.666666667,0,3,6.833333333,0.833333333
Mat,2021,Feb,L1,S1,L1S1,A,D1,1,Mat2021FebL1S1L1S1AD1,50,30,18,12,16,8,0,4,12,0,18.5,27.5,3.666666667,26,8.333333333,0,2.5,13.16666667,0.333333333
Mat,2021,Feb,L1,S1,L1S1,A,D2,1,Mat2021FebL1S1L1S1AD2,50,46,14,0,6,12,0,8,14,0,31.16666667,20.66666667,5,15.66666667,11.16666667,0,2.666666667,13.5,0.166666667
Mat,2021,Feb,L1,S2,L1S2,C,D1,1,Mat2021FebL1S2L1S2CD1,50,22,2,0,6,2,0,8,54,6,46.83333333,5.833333333,0,6.5,2.833333333,1.5,6.5,23.5,6.5
Mat,2021,Feb,L1,S2,L1S2,C,D2,1,Mat2021FebL1S2L1S2CD2,50,38,12,0,8,2,0,4,30,6,50.5,16,0.5,8.333333333,3,0,9.166666667,9.833333333,2.666666667
Mat,2021,Feb,L1,S3,L1S3,B,D1,1,Mat2021FebL1S3L1S3BD1,50,48,0,0,6,4,0,12,28,2,60.83333333,1.333333333,0.833333333,11.83333333,3.666666667,0,5.833333333,11.5,4.166666667
Mat,2021,Feb,L1,S3,L1S3,B,D2,1,Mat2021FebL1S3L1S3BD2,50,66,0,0,16,0,0,6,12,0,62.5,9.166666667,0.166666667,15.83333333,1.666666667,0,3,6.833333333,0.833333333
Mat,2021,Jun,L2,S1,L2S1,C,D1,1,Mat2021JunL2S1L2S1CD1,50,54,0,0,0,0,0,4,24,18,43.66666667,0.166666667,0,0,0,0,6.5,34,15.66666667
Mat,2021,Jun,L2,S1,L2S1,C,D2,1,Mat2021JunL2S1L2S1CD2,50,56,16,0,6,0,2,8,12,0,68,9,0,2,0,0.166666667,6.166666667,13.66666667,1
Mat,2021,Jun,L2,S2,L2S2,C,D1,1,Mat2021JunL2S2L2S2CD1,50,60,4,0,2,0,0,0,24,10,46,0.333333333,0,0.166666667,0.166666667,0.166666667,9.5,33.16666667,10.5
Mat,2021,Jun,L2,S2,L2S2,C,D2,1,Mat2021JunL2S2L2S2CD2,50,36,20,2,20,0,0,10,10,2,51.33333333,12.83333333,0.166666667,9.166666667,0.666666667,0,10.16666667,11.16666667,4.5
Mat,2021,Jun,L2,S3,L2S3,B,D1,1,Mat2021JunL2S3L2S3BD1,50,48,24,0,8,0,0,6,6,8,44.83333333,3,0,1.166666667,0.166666667,0.166666667,9.833333333,25.66666667,15.16666667
Mat,2021,Jun,L2,S3,L2S3,B,D2,1,Mat2021JunL2S3L2S3BD2,50,30,28,4,20,0,0,6,6,6,45.66666667,13,0.5,7.333333333,1.833333333,0,11.83333333,15.5,4.333333333
Mat,2021,Jul,L2,S1,L2S1,C,D1,1,Mat2021JulL2S1L2S1CD1,50,18,0,0,0,0,0,10,44,28,43.66666667,0.166666667,0,0,0,0,6.5,34,15.66666667
Mat,2021,Jul,L2,S1,L2S1,C,D2,1,Mat2021JulL2S1L2S1CD2,50,72,12,0,0,0,0,2,12,2,68,9,0,2,0,0.166666667,6.166666667,13.66666667,1
Mat,2021,Jul,L2,S2,L2S2,C,D1,1,Mat2021JulL2S2L2S2CD1,50,48,0,0,0,0,0,0,32,20,46,0.333333333,0,0.166666667,0.166666667,0.166666667,9.5,33.16666667,10.5
Mat,2021,Jul,L2,S2,L2S2,C,D2,1,Mat2021JulL2S2L2S2CD2,50,74,14,0,0,0,0,2,10,0,51.33333333,12.83333333,0.166666667,9.166666667,0.666666667,0,10.16666667,11.16666667,4.5
